"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"3694","海華",53.57,208.30,147.76,76.63,13.26,4.50,81.11,4.15,87.95,8.45,1.67,5.22,12.55,19.33,2.93,1.93,36.81,66.48,18.33
"3701","大眾控",47.42,1251.62,221.70,126.94,2210.00,4.47,81.65,3.15,115.87,21.96,1.28,7.74,14.65,35.53,5.81,2.23,13.00,20.55,5.48
"3702","大聯大",74.10,729.20,139.26,81.19,4.12,6.05,60.33,7.39,49.39,49.60,2.57,4.56,13.88,67.64,1.36,6.02,-3.09,-9.84,-10.08
"3703","欣陸",60.85,433.93,135.62,59.37,5.28,11.14,32.76,1.01,361.38,4.62,0.44,4.10,9.06,34.23,8.05,3.51,0.21,36.79,-5.55
"3704","合勤控",63.00,669.37,162.11,104.11,28.42,4.36,83.71,3.31,110.27,17.00,1.26,6.95,16.92,49.79,5.33,3.87,3.27,26.43,1.76
"3705","永信",35.01,238.93,221.50,125.91,3337.12,4.19,87.11,1.43,255.24,1.85,0.61,7.36,11.76,39.93,11.65,3.15,32.04,89.25,3.32
"3706","神達",29.08,899.58,171.75,110.32,106.26,7.16,50.97,4.16,87.74,6.15,0.59,11.59,16.41,93.97,19.43,7.76,11.15,29.54,-0.84
"3708","上緯投控",44.32,290.75,206.22,183.69,13.85,1.96,186.22,7.72,47.27,3.11,0.68,7.10,13.23,116.82,9.82,9.48,12.81,40.18,3.58
"3711","日月光投控",54.75,180.74,135.14,91.89,21.46,5.83,62.60,6.89,52.97,2.64,0.97,9.92,21.94,186.87,9.72,13.94,49.93,87.03,8.92
"3712","永崴投控",54.60,531.64,161.94,110.49,7.24,9.62,37.94,7.70,47.40,3.39,0.42,2.69,4.95,34.38,5.47,2.15,-18.95,-51.74,-11.28
"3714","富采",22.43,284.66,316.74,262.36,-2.67,2.38,153.36,4.55,80.21,1.25,0.39,-0.62,-1.02,-6.41,-1.96,0.05,77.18,81.98,6.88
"3715","定穎投控",69.25,94.99,93.13,62.22,4.29,3.35,108.95,4.18,87.32,1.80,0.81,3.94,9.48,27.99,3.61,1.97,14.64,46.93,7.94
"4104","佳醫",37.52,1411.32,165.65,143.56,93.22,4.31,84.68,5.47,66.72,10.29,0.45,5.02,7.83,65.02,10.92,4.50,11.07,74.84,0.45
"4106","雃博",30.34,329.64,217.53,141.19,20.69,5.96,61.24,2.58,141.47,3.61,0.84,5.35,7.52,19.87,6.06,1.60,10.65,81.81,0.95
"4108","懷特",3.69,931.72,2524.98,2232.52,-36670.19,5.79,63.03,0.46,793.47,0.51,0.06,-4.74,-4.92,-5.78,-84.69,-0.40,-96.51,-42.44,-2.35
"4119","旭富",26.84,131.23,135.32,66.91,362.77,7.01,52.06,1.51,241.72,0.34,0.20,6.77,8.89,40.66,34.32,3.24,38.50,83.92,6.77
"4133","亞諾法",6.03,507.52,1274.66,719.34,62571.05,6.26,58.30,0.24,1520.83,1.56,0.31,5.64,5.98,15.68,18.18,1.24,182.20,1505.31,7.78
"4137","麗豐-KY",45.89,543.12,327.71,298.59,1829.64,1416.85,0.25,1.42,257.04,3.19,0.43,7.83,14.30,145.57,16.95,8.68,14.47,126.45,-9.46
"4142","國光生",29.50,231.44,832.44,646.72,7.54,7.07,51.62,1.59,229.55,0.61,0.26,3.76,4.74,7.01,13.33,0.68,17.64,80.37,0.81
"4148","全宇生技-KY",30.36,564.74,493.84,320.06,34.70,6.37,57.29,2.54,143.70,7.52,1.05,10.80,16.90,99.00,9.95,5.75,6.43,24.63,-1.62
"4155","訊映",39.68,257.11,184.32,127.28,1637.00,3.52,103.69,2.85,128.07,1.94,0.51,4.97,7.70,17.65,9.22,1.51,29.04,41.48,6.17
"4164","承業醫",50.10,202.19,365.41,260.63,611.50,2.75,132.72,2.58,141.47,0.53,0.23,3.66,6.11,29.95,13.07,2.21,62.30,86.68,2.48
"4190","佐登-KY",73.21,121.49,50.40,41.05,1.85,14.50,25.17,2.59,140.92,0.91,0.34,0.64,0.63,9.61,0.50,0.24,19.36,109.46,10.14
"4306","炎洲",59.95,221.95,158.04,72.36,5.62,5.04,72.42,1.42,257.04,1.72,0.49,4.22,9.88,15.87,21.30,1.72,16.54,95.63,4.64
"4414","如興",70.05,185.80,92.08,42.92,-1090.01,5.30,68.86,3.68,99.18,5.40,1.01,-23.58,-66.79,-55.88,-25.24,-5.32,-8.74,73.34,-9.71
"4426","利勤",45.02,135.00,125.22,89.90,-1.06,6.99,52.21,4.55,80.21,0.47,0.28,-0.83,-2.93,-3.34,-5.68,-0.46,12.54,95.98,1.56
"4438","廣越",40.72,396.04,268.39,164.37,22.56,10.42,35.02,3.98,91.70,6.65,1.28,10.01,16.46,189.18,7.45,11.38,52.08,67.19,13.24
"4439","冠星-KY",29.83,275.74,224.90,146.91,57.84,7.38,49.45,4.93,74.03,7.81,1.62,9.81,16.02,139.28,5.95,11.74,72.41,79.63,21.70
"4440","宜新實業",35.23,130.64,221.59,133.80,25.98,6.27,58.21,5.40,67.59,1.09,0.68,9.24,13.10,35.77,12.97,2.90,68.26,47.94,-3.18
"4526","東台",61.93,295.93,150.96,67.39,2.97,2.54,143.70,1.18,309.32,2.90,0.54,1.48,2.53,8.37,1.73,0.36,11.28,114.88,6.56
"4532","瑞智",54.59,234.99,168.43,140.82,12.71,3.02,120.86,6.48,56.32,2.86,0.73,3.04,6.60,18.69,3.82,1.38,8.72,154.20,2.33
"4536","拓凱",49.91,248.17,173.64,135.68,31.32,5.35,68.22,2.94,124.14,3.53,0.80,17.04,32.03,348.07,20.61,24.89,30.29,106.36,15.85
"4540","全球傳動",56.89,223.39,325.35,124.63,8.67,3.45,105.79,1.05,347.61,1.34,0.45,4.36,8.44,41.54,8.42,2.94,2.91,13.26,-1.03
"4545","銘鈺",42.14,202.31,211.20,134.04,19.41,4.40,82.95,3.38,107.98,1.99,0.72,5.37,8.96,28.85,7.11,2.10,-0.85,34.60,-1.72
"4551","智伸科",39.16,179.48,170.26,122.90,66.23,3.50,104.28,3.50,104.28,1.93,0.71,11.06,18.17,158.74,15.21,12.20,32.76,79.49,7.52
"4552","力達-KY",22.63,193.00,349.94,321.08,98.73,4.78,76.35,11.92,30.62,1.56,70.15,9.33,7.95,58.35,8.67,3.84,30.42,61.16,3.61
"4555","氣立",35.00,172.31,227.86,114.28,11.05,3.53,103.39,1.11,328.82,0.84,0.39,4.32,6.26,29.63,10.10,2.55,29.72,51.18,3.65
"4557","永新-KY",39.47,268.37,197.75,157.90,64.47,3.27,111.62,3.47,105.18,3.81,0.94,16.09,26.39,149.57,16.84,12.11,61.93,95.94,17.57
"4560","強信-KY",24.65,352.94,301.61,195.34,37.83,2.93,124.57,2.20,165.90,3.41,0.72,10.60,14.32,45.45,14.31,3.70,76.42,118.44,13.14
"4562","穎漢",54.27,206.36,184.84,75.70,0.20,2.14,170.56,0.64,570.31,0.93,0.29,0.07,-1.25,-1.81,-1.85,-0.14,2.26,0.42,0.93
"4564","元翎",45.74,137.77,136.90,99.32,2.21,2.94,124.14,3.26,111.96,0.39,0.24,1.14,1.27,3.07,2.95,0.31,14.49,99.99,-0.47
"4566","時碩工業",58.31,178.11,154.79,104.70,1453.91,3.42,106.72,2.86,127.62,2.27,0.67,6.11,14.50,66.61,8.48,5.74,8.27,39.18,1.32
"4569","六方科-KY",8.71,226.76,1128.30,893.31,"NA",4.34,84.10,3.16,115.50,1.25,0.54,12.02,13.24,106.78,22.41,10.65,296.69,84.28,5.03
"4571","鈞興-KY",28.59,261.10,249.68,172.48,56.24,3.00,121.66,2.49,146.58,2.55,0.70,10.27,13.94,74.47,14.37,6.66,50.95,67.74,8.01
"4572","駐龍",19.61,576.47,885.66,615.79,111.05,3.60,101.38,0.92,396.73,1.75,0.30,8.98,10.66,63.17,28.82,5.13,123.71,145.80,7.21
"4576","大銀微系統",29.90,153.36,238.26,123.45,38.44,6.00,60.83,1.58,231.01,1.01,0.55,6.85,9.86,39.34,12.16,2.73,39.90,58.00,4.76
"4581","光隆精密-KY",41.56,260.55,235.69,168.90,37.14,5.37,67.97,2.28,160.08,2.98,0.68,7.75,12.33,42.81,11.07,3.34,44.10,95.29,9.17
"4583","台灣精銳",10.91,279.77,1045.70,805.57,126.13,9.32,39.16,1.03,354.36,0.91,0.31,10.09,12.83,173.40,32.77,14.47,257.58,176.37,6.82
"4588","玖鼎電力",60.89,1507.39,132.83,63.04,19.74,4.91,74.33,1.14,320.17,20.25,0.67,10.22,22.95,25.17,14.42,2.73,-15.72,"NA",-48.72
"4720","德淵",56.34,175.64,145.98,96.16,331.04,5.30,68.86,4.45,82.02,3.63,1.11,1.30,1.61,4.90,0.69,0.20,6.17,32.28,2.46
"4722","國精化",36.16,242.50,282.46,152.43,34.24,4.12,88.59,3.15,115.87,2.83,0.92,7.08,11.08,40.13,7.46,3.15,87.45,73.82,13.19
"4736","泰博",22.53,327.98,333.16,261.14,314.18,6.76,53.99,1.94,188.14,3.52,0.82,29.71,39.35,461.87,36.03,36.03,134.09,101.96,14.24
"4737","華廣",58.24,144.20,115.99,70.55,3.82,3.97,91.93,1.99,183.41,0.88,0.46,2.43,4.41,14.25,4.15,1.50,10.08,66.52,0.42
"4739","康普",47.70,178.46,196.59,120.82,15.58,12.28,29.72,3.58,101.95,2.13,0.84,5.30,9.32,68.55,5.84,4.72,47.25,41.02,12.32
"4746","台耀",38.86,163.55,132.13,78.30,18.25,4.63,78.83,1.13,323.00,0.64,0.32,1.92,2.82,27.71,5.76,3.40,20.47,29.74,5.00
"4755","三福化",36.02,165.97,152.15,97.62,57.48,3.97,91.93,5.73,63.69,2.12,0.81,12.54,19.32,106.54,15.12,8.43,52.34,71.34,8.51
"4763","材料-KY",32.51,245.83,199.78,160.85,4233.25,12.85,28.40,6.82,53.51,3.08,0.94,28.81,48.18,201.04,29.85,20.72,94.39,110.53,29.00
"4764","雙鍵",51.08,189.20,175.78,140.67,3.25,4.46,81.83,4.35,83.90,1.59,0.58,1.37,2.61,9.82,2.15,0.71,11.13,49.11,3.26
"4766","南寶",36.78,334.25,202.95,155.57,28.64,4.70,77.65,5.79,63.03,4.22,0.87,7.59,11.67,197.84,8.47,14.44,30.25,72.12,7.16
"4770","上品",29.37,422.32,329.71,237.93,583.25,4.41,82.76,1.97,185.27,3.60,0.64,20.12,28.96,276.07,28.93,22.54,37.65,82.10,3.16
"4771","望隼",37.00,205.38,287.03,243.55,41.59,3.90,93.58,5.36,68.09,1.51,0.60,10.63,16.53,73.37,17.26,6.02,136.02,64.16,14.87
"4807","日成-KY",31.51,309.76,280.09,197.96,14.35,3.61,101.10,3.80,96.05,4.98,1.08,3.20,4.24,19.79,2.64,0.85,61.01,84.77,8.62
"4904","遠傳",62.38,351.36,90.47,76.69,19.76,8.49,42.99,9.34,39.07,2.22,0.52,5.90,14.90,36.82,10.89,2.95,93.57,90.90,6.89
"4906","正文",46.12,336.87,136.27,94.34,1556.07,3.55,102.81,5.85,62.39,7.43,1.24,3.60,5.90,23.30,2.67,1.70,8.53,16.47,2.01
"4912","聯德控股-KY",56.84,242.36,124.74,98.69,15.41,3.13,116.61,4.87,74.94,4.29,0.76,5.78,13.44,85.29,7.27,6.27,6.22,94.00,1.36
"4915","致伸",61.29,265.90,131.28,91.37,13.75,5.65,64.60,6.06,60.23,10.00,1.64,6.40,16.52,79.19,3.62,6.10,24.45,75.94,16.85
